asset_id,avg_campaigns,JUNE_avg_video_dispalys,JUL_avg_video_dispalys,AUG_avg_video_dispalys,SEPT_avg_video_dispalys,OCT_avg_video_dispalys,NOV_avg_video_dispaly,JUNE_avg_video_duration,JUL_avg_video_duration,AUG_avg_video_duration,SEPT_avg_video_duration,OCT_avg_video_duration,NOV_avg_video_duration
W01E123544,2.6,0.0,0.0,0.0,0.0,347.6818181818182,0.0,0.0,0.0,0.0,0.0,6962006.818181818,0.0
W01E123544,2.6,0.0,248.0,0.0,0.0,0.0,0.0,0.0,4966034.222222222,0.0,0.0,0.0,0.0
W01E123544,2.6,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,540723.0,0.0,0.0,0.0
W01E101454,1.4,0.0,0.0,110.9047619047619,0.0,0.0,0.0,0.0,0.0,2221483.8571428573,0.0,0.0,0.0
W01E101454,1.4,0.0,0.0,0.0,0.0,0.0,219.6,0.0,0.0,0.0,0.0,0.0,0.0
W01E101454,1.4,0.0,110.8695652173913,0.0,0.0,0.0,0.0,0.0,2220963.913043478,0.0,0.0,0.0,0.0
W14810,1.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,1523191.0,0.0,0.0,0.0,0.0
W14810,1.0,0.0,0.0,157.1904761904762,0.0,0.0,0.0,0.0,0.0,3148657.6666666665,0.0,0.0,0.0
W14810,1.0,0.0,0.0,0.0,0.0,0.0,148.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0
W14810,1.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,2609802.714285714,0.0,0.0
W01E129094,4.2,0.0,0.0,0.0,0.0,488.5806451612903,0.0,0.0,0.0,0.0,0.0,31163.612903225807,0.0
W01E123544,2.6,0.0,0.0,0.0,242.27272727272728,0.0,0.0,0.0,0.0,0.0,4851439.7272727275,0.0,0.0
W01E123544,2.6,0.0,0.0,0.0,0.0,0.0,495.5263157894737,0.0,0.0,0.0,0.0,0.0,9921501.631578946
W01E101454,1.4,0.0,0.0,0.0,0.0,199.8181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W01E101454,1.4,0.0,0.0,0.0,109.5909090909091,0.0,0.0,0.0,0.0,0.0,303139.2727272727,0.0,0.0
W09613,1.0,0.0,0.0,0.0,0.0,73.66666666666667,0.0,0.0,0.0,0.0,0.0,1180.0,0.0
W09613,1.0,0.0,0.0,0.0,0.0,0.0,109.47368421052632,0.0,0.0,0.0,0.0,0.0,0.0
W01Y108359,2.1666666666666665,0.0,125.47826086956522,0.0,0.0,0.0,0.0,0.0,2179965.8695652173,0.0,0.0,0.0,0.0
W01Y108359,2.1666666666666665,0.0,0.0,0.0,245.86363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W01Y108359,2.1666666666666665,122.9090909090909,0.0,0.0,0.0,0.0,0.0,2461011.6818181816,0.0,0.0,0.0,0.0,0.0
W01Y108359,2.1666666666666665,0.0,0.0,247.04761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W01Y108359,2.1666666666666665,0.0,0.0,0.0,0.0,0.0,371.36842105263156,0.0,0.0,0.0,0.0,0.0,0.0
W01Y108359,2.1666666666666665,0.0,0.0,0.0,0.0,348.1818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W01E132239,5.0,0.0,0.0,0.0,0.0,626.5,0.0,0.0,0.0,0.0,0.0,911.0909090909091,0.0
W01E132239,5.0,0.0,373.8,0.0,0.0,0.0,0.0,0.0,7485557.8,0.0,0.0,0.0,0.0
W01E132239,5.0,0.0,0.0,0.0,0.0,0.0,593.95,0.0,0.0,0.0,0.0,0.0,0.0
W01E132239,5.0,0.0,0.0,0.0,626.8181818181819,0.0,0.0,0.0,0.0,0.0,4617490.818181818,0.0,0.0
W01E132239,5.0,0.0,0.0,577.1904761904761,0.0,0.0,0.0,0.0,0.0,11665815.57142857,0.0,0.0,0.0
W10288,1.4,0.0,0.0,0.0,0.0,249.5909090909091,0.0,0.0,0.0,0.0,0.0,4997416.136363637,0.0
W10288,1.4,0.0,135.45,0.0,0.0,0.0,0.0,0.0,2712147.0,0.0,0.0,0.0,0.0
W10288,1.4,0.0,0.0,0.0,130.55555555555554,0.0,0.0,0.0,0.0,0.0,2616244.0,0.0,0.0
W10288,1.4,137.95454545454547,0.0,0.0,0.0,0.0,0.0,2762189.090909091,0.0,0.0,0.0,0.0,0.0
W10288,1.4,0.0,0.0,0.0,0.0,0.0,274.36842105263156,0.0,0.0,0.0,0.0,0.0,5493401.0
W01E117938,4.833333333333333,0.0,0.0,510.0,0.0,0.0,0.0,0.0,0.0,10262751.19047619,0.0,0.0,0.0
W01E117938,4.833333333333333,0.0,0.0,0.0,532.5,0.0,0.0,0.0,0.0,0.0,3848169.6363636362,0.0,0.0
W01E117938,4.833333333333333,0.0,0.0,0.0,0.0,0.0,286.10526315789474,0.0,0.0,0.0,0.0,0.0,0.0
W01E117938,4.833333333333333,0.0,441.4347826086956,0.0,0.0,0.0,0.0,0.0,8844327.739130436,0.0,0.0,0.0,0.0
W01E117938,4.833333333333333,0.0,0.0,0.0,0.0,376.72727272727275,0.0,0.0,0.0,0.0,0.0,11370.818181818182,0.0
W01E117938,4.833333333333333,365.44444444444446,0.0,0.0,0.0,0.0,0.0,7321308.111111111,0.0,0.0,0.0,0.0,0.0
W01E127379,3.5,0.0,0.0,0.0,0.0,393.40909090909093,0.0,0.0,0.0,0.0,0.0,7878878.454545454,0.0
W01E127379,3.5,0.0,387.6190476190476,0.0,0.0,0.0,0.0,0.0,7762780.0,0.0,0.0,0.0,0.0
W01E127379,3.5,390.0,0.0,0.0,0.0,0.0,0.0,7809719.409090909,0.0,0.0,0.0,0.0,0.0
W01E127379,3.5,0.0,0.0,423.0,0.0,0.0,0.0,0.0,0.0,8590347.555555556,0.0,0.0,0.0
W01E127379,3.5,0.0,0.0,0.0,382.42857142857144,0.0,0.0,0.0,0.0,0.0,7659584.857142857,0.0,0.0
W01E127379,3.5,0.0,0.0,0.0,0.0,0.0,381.0,0.0,0.0,0.0,0.0,0.0,7736426.894736842
W38765,3.1666666666666665,0.0,274.6,0.0,0.0,0.0,0.0,0.0,5500821.7,0.0,0.0,0.0,0.0
W38765,3.1666666666666665,0.0,0.0,0.0,402.94736842105266,0.0,0.0,0.0,0.0,0.0,3600570.8947368423,0.0,0.0
W01E129094,4.2,0.0,0.0,229.48387096774192,0.0,0.0,0.0,0.0,0.0,4595306.9677419355,0.0,0.0,0.0
W01E129094,4.2,0.0,0.0,0.0,343.1,0.0,0.0,0.0,0.0,0.0,709996.0333333333,0.0,0.0
W01E129094,4.2,0.0,0.0,0.0,0.0,0.0,497.2857142857143,0.0,0.0,0.0,0.0,0.0,0.0
W01E129094,4.2,0.0,229.44444444444446,0.0,0.0,0.0,0.0,0.0,4594603.333333333,0.0,0.0,0.0,0.0
W35214,3.5,0.0,0.0,0.0,0.0,527.3181818181819,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W35214,3.5,0.0,231.17391304347825,0.0,0.0,0.0,0.0,0.0,4629512.347826087,0.0,0.0,0.0,0.0
W35214,3.5,124.04545454545455,0.0,0.0,0.0,0.0,0.0,2484088.8636363638,0.0,0.0,0.0,0.0,0.0
W35214,3.5,0.0,0.0,0.0,491.6363636363636,0.0,0.0,0.0,0.0,0.0,2651110.6363636362,0.0,0.0
W35214,3.5,0.0,0.0,371.0,0.0,0.0,0.0,0.0,0.0,7428207.047619048,0.0,0.0,0.0
W35214,3.5,0.0,0.0,0.0,0.0,0.0,532.4545454545455,0.0,0.0,0.0,0.0,0.0,0.0
W01E104728,5.333333333333333,0.0,329.0869565217391,0.0,0.0,0.0,0.0,0.0,6815614.0869565215,0.0,0.0,0.0,0.0
W01E104728,5.333333333333333,0.0,0.0,0.0,0.0,343.40909090909093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W01E104728,5.333333333333333,0.0,0.0,0.0,350.3181818181818,0.0,0.0,0.0,0.0,0.0,1051468.4545454546,0.0,0.0
W01E104728,5.333333333333333,245.13636363636363,0.0,0.0,0.0,0.0,0.0,4909192.409090909,0.0,0.0,0.0,0.0,0.0
W01E104728,5.333333333333333,0.0,0.0,352.0,0.0,0.0,0.0,0.0,0.0,7048843.80952381,0.0,0.0,0.0
W01E104728,5.333333333333333,0.0,0.0,0.0,0.0,0.0,347.57894736842104,0.0,0.0,0.0,0.0,0.0,3161.9473684210525
W38765,3.1666666666666665,0.0,0.0,279.23809523809524,0.0,0.0,0.0,0.0,0.0,5591039.619047619,0.0,0.0,0.0
W38765,3.1666666666666665,0.0,0.0,0.0,0.0,532.7777777777778,0.0,0.0,0.0,0.0,0.0,85.27777777777777,0.0
W38765,3.1666666666666665,497.77777777777777,0.0,0.0,0.0,0.0,0.0,9966941.0,0.0,0.0,0.0,0.0,0.0
W38765,3.1666666666666665,0.0,0.0,0.0,0.0,0.0,552.421052631579,0.0,0.0,0.0,0.0,0.0,2110.2631578947367
W31468,4.0,0.0,0.0,0.0,0.0,527.4545454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W31468,4.0,0.0,232.91304347826087,0.0,0.0,0.0,0.0,0.0,4663602.391304348,0.0,0.0,0.0,0.0
W31468,4.0,0.0,0.0,494.0,0.0,0.0,0.0,0.0,0.0,9891032.42857143,0.0,0.0,0.0
W31468,4.0,0.0,0.0,0.0,492.1363636363636,0.0,0.0,0.0,0.0,0.0,3560498.1818181816,0.0,0.0
W31468,4.0,124.0,0.0,0.0,0.0,0.0,0.0,2482868.0,0.0,0.0,0.0,0.0,0.0
W31468,4.0,0.0,0.0,0.0,0.0,0.0,535.6315789473684,0.0,0.0,0.0,0.0,0.0,1034833.3157894737
W01E119285,2.0,0.0,0.0,0.0,0.0,347.6818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W01E119285,2.0,0.0,0.0,193.42857142857142,0.0,0.0,0.0,0.0,0.0,3873219.619047619,0.0,0.0,0.0
W01E119285,2.0,0.0,0.0,0.0,246.04545454545453,0.0,0.0,0.0,0.0,0.0,1780281.2272727273,0.0,0.0
W01E119285,2.0,123.18181818181819,0.0,0.0,0.0,0.0,0.0,2466439.8636363638,0.0,0.0,0.0,0.0,0.0
W01E119285,2.0,0.0,0.0,0.0,0.0,0.0,277.10526315789474,0.0,0.0,0.0,0.0,0.0,1053.9473684210527
W01E119285,2.0,0.0,123.21739130434783,0.0,0.0,0.0,0.0,0.0,2468686.304347826,0.0,0.0,0.0,0.0
W06134,1.4,0.0,0.0,0.0,0.0,245.4090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W06134,1.4,0.0,0.0,131.38095238095238,0.0,0.0,0.0,0.0,0.0,2625612.9523809524,0.0,0.0,0.0
W06134,1.4,0.0,0.0,0.0,134.95454545454547,0.0,0.0,0.0,0.0,0.0,725374.0909090909,0.0,0.0
W06134,1.4,0.0,0.0,0.0,0.0,0.0,270.2631578947368,0.0,0.0,0.0,0.0,0.0,0.0
W06134,1.4,0.0,135.7826086956522,0.0,0.0,0.0,0.0,0.0,2716066.5217391304,0.0,0.0,0.0,0.0
W38045,1.0,0.0,0.0,0.0,0.0,123.55555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W38045,1.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,2271.4210526315787
W01Y101585,1.0,0.0,0.0,0.0,0.0,95.88888888888889,0.0,0.0,0.0,0.0,0.0,2888.5555555555557,0.0
W01Y101585,1.0,0.0,0.0,0.0,0.0,0.0,96.05263157894737,0.0,0.0,0.0,0.0,0.0,0.0
